date,temp_min_c,temp_max_c,precip_mm,avg_evaporation_index,condition_ko,app_weather_label,alert_ko
2026-06-15,20.0,29.0,0.0,0.7441666666666666,partly cloudy,구름 사이 햇빛,관수 관찰
2026-06-16,21.0,33.0,0.0,1.0679166666666666,hot sunny,맑음 · 더움,고온 증발 주의
2026-06-17,22.0,29.0,0.0,0.83625,partly cloudy,구름 많음,수위 관찰
2026-06-18,21.0,31.0,0.0,0.9787500000000001,hot sunny,맑음 · 고온,증발 주의
2026-06-19,22.5,33.0,18.0,0.9066666666666667,hot then heavy rain,오후 폭우,폭우/급상승
2026-06-20,18.5,23.9,57.0,0.19041666666666668,heavy rain,비,배수 확인
2026-06-21,20.5,27.0,8.0,0.5599999999999999,rain/cloudy,비/흐림,과습 확인
2026-06-22,19.8,30.0,3.0,0.835,rain ending then sunny,비 그친 뒤 맑음,증발·배수 확인
2026-06-23,22.0,31.0,0.0,1.0208333333333333,hot sunny,맑음 · 고온,강한 증발 주의
2026-06-24,22.0,30.0,0.0,0.9779166666666667,mostly sunny,맑음,수위 저하 확인
2026-06-25,22.0,27.9,0.0,0.7357142857142858,partly cloudy,구름 많음,관수 판단
